name,cc_fips
AIESEC SUROCCIDENTE(CLOSED),GT
AIESEC HKUST,HK
AIESEC LINGNAN,HK
AIESEC CUHK,HK
AIESEC POLYU,HK
AIESEC HKBU,HK
AIESEC HKU,HK
AIESEC SZEGED,HU
AIESEC KULKER,HU
AIESEC VESZPREM,HU
AIESEC DEBRECEN,HU
AIESEC GYOR,HU
AIESEC UNIVERSITY OF TECHNOLOGY AND ECONOMICS (CLOSED),HU
AIESEC GODOLLO,HU
AIESEC BUDAPEST UNIVERSITY,HU
AIESEC BME,HU
AIESEC COLLEGE OF SZOLNOK (CLOSED),HU
AIESEC PEX,HU
AIESEC KVIK,HU
AIESEC INTERNATIONAL BUSINESS SCHOOL - BUDAPEST (CLOSED),HU
AIESEC KODOLANYI JANOS COLLEGE (CLOSED),HU
AIESEC SOPRON UNIVERSITY (CLOSED),HU
AIESEC PSZF,HU
AIESEC COLLEGE OF ENTREPRENEURIAL STUDIES (CLOSED),HU
AIESEC PECS UNIVERSITY (CLOSED),HU
AIESEC MISKOLC,HU
AIESEC COLLEGE OF MODERN BUSINESS SCIENCES (CLOSED),HU
AIESEC REYKJAVIK,IC
AIESEC JALANDHAR,IN
AIESEC LUCKNOW,IN
AIESEC JODHPUR,IN
AIESEC HYDERABAD,IN
AIESEC MUMBAI,IN
AIESEC GOA(CLOSED),IN
AIESEC PUNE,IN
AIESEC THAPAR UNIVERSITY,IN
AIESEC CHANDIGARH,IN
AIESEC IIT KGP,IN
AIESEC BARODA,IN
AIESEC KIIT UNIVERSITY,IN
AIESEC BANGALORE,IN
AIESEC AHMEDABAD,IN
AIESEC KOCHI(CLOSED),IN
AIESEC JAIPUR,IN
AIESEC CHENNAI,IN
AIESEC INDORE,IN
AIESEC NAVI MUMBAI,IN
AIESEC VISHAKHAPATNAM,IN
AIESEC SURAT,IN
AIESEC DELHI UNIVERSITY,IN
AIESEC ISM DHANBAD,IN
AIESEC KOLKATA,IN
AIESEC KOCHI,IN
AIESEC DEHRADUN,IN
AIESEC MANIPAL UNIVERSITY,IN
AIESEC DELHI IIT,IN
AIESEC UPNVY,ID
AIESEC BINUS,ID
AIESEC UNIBRAW,ID
AIESEC PMBS,ID
AIESEC SURABAYA,ID
AIESEC UGM,ID
AIESEC UNDIP,ID
AIESEC UI,ID
AIESEC UNS,ID
AIESEC BANDUNG,ID
AIESEC UNAND,ID
AIESEC OE,ID
AIESEC UNIVERSITY OF TEHRAN,IR
AIESEC TEHRAN (CLOSED),IR
AIESEC DIT (CLOSED),EI
AIESEC LIMERICK (CLOSED),EI
AIESEC UCD,EI
AIESEC DCU,EI
AIESEC TRINITY,EI
AIESEC UCG (CLOSED),EI
AIESEC CORK,EI
AIESEC DUBLIN (CLOSED),EI
AIESEC NUI MAYNOOTH (CLOSED),EI
AIESEC BEER-SHEVA (CLOSED),IS
AIESEC RAMAT GAN (CLOSED),IS
AIESEC MANAGEMENT COLLEGE (CLOSED),IS
AIESEC TRIESTE,IT
AIESEC EXPANSION INITIATIVE,IT
AIESEC PESCARA (CLOSED),IT
AIESEC FERRARA,IT
AIESEC TORINO,IT
AIESEC MILANO CATTOLICA,IT
AIESEC PALERMO,IT
AIESEC FIRENZE (CLOSED),IT
AIESEC PIACENZA (CLOSED),IT
AIESEC MILANO BOCCONI (CLOSED),IT
AIESEC PADOVA (CLOSED),IT
AIESEC ROMA TOR VERGATA (CLOSED),IT
AIESEC CAGLIARI (CLOSED),IT
AIESEC BERGAMO (CLOSED),IT
AIESEC VERONA (CLOSED),IT
AIESEC PADOVA,IT
AIESEC SZECHENYI I ISTVAN COLLEGE (CLOSED),IT
AIESEC VENEZIA,IT
AIESEC VITERBO (CLOSED),IT
AIESEC BOLOGNA,IT
AIESEC CATANIA,IT
AIESEC NAPOLI FEDERICO II,IT
AIESEC SIENA (CLOSED),IT
AIESEC LECCE (CLOSED),IT
AIESEC ROMA LA SAPIENZA,IT
AIESEC PERUGIA (CLOSED),IT
AIESEC NAPOLI PARTHENOPE,IT
AIESEC GENOVA,IT
AIESEC BOLOGNA (CLOSED),IT
AIESEC ROMA TOR VERGATA (CLOSED),IT
AIESEC COSENZA (CLOSED),IT
AIESEC BARI,IT
AIESEC URBINO (CLOSED),IT
AIESEC ANCONA,IT
AIESEC ROMA LUISS (CLOSED),IT
AIESEC BOZEN-BOLZANO,IT
AIESEC BRESCIA (CLOSED),IT
AIESEC ROMA TRE,IT
AIESEC SALERNO (CLOSED),IT
AIESEC PAVIA,IT
AIESEC TRENTO,IT
AIESEC OTARU UNIVERSITY OF COMMERCE (CLOSED),JA
AIESEC KYOTO,JA
AIESEC KEIO SFC,JA
AIESEC HOKKAIDO,JA
AIESEC CHUO UNIVERSITY,JA
AIESEC OSAKA UNIVERSITY,JA
AIESEC SENDAI,JA
AIESEC SAINT PAUL'S UNIVERSITY,JA
AIESEC OSAKA CITY UNIVERSITY,JA
AIESEC NAGOYA CITY UNIVERSITY,JA
AIESEC RITSUMEIKAN ASIA PACIFIC UNIVERSITY,JA
AIESEC KOBE UNIVERSITY,JA
AIESEC DOSHISHA UNIVERSITY,JA
AIESEC FUKUOKA (CLOSED),JA
AIESEC TOKYO UNIVERSITY,JA
AIESEC HOKKAIDO UNIVERSITY (CLOSED),JA
AIESEC AOYAMAGAKUIN UNIVERSITY,JA
AIESEC NAGASAKI UNIVERSITY(CLOSED),JA
AIESEC KWANSEI GAKUIN UNIVERSITY,JA
AIESEC SHIGA UNIVERSITY,JA
AIESEC HOSEI UNIVERSITY(CLOSED),JA
AIESEC NAGOYA UNIVERSITY,JA
AIESEC TSUKUBA,JA
AIESEC HITOTSUBASHI UNIVERSITY,JA
AIESEC HIROSHIMA,JA
AIESEC MEIJI UNIVERSITY,JA
AIESEC HOKKAIGAKUEN UNIVERSITY (CLOSED),JA
AIESEC SOPHIA UNIVERSITY,JA
AIESEC NANZAN UNIVERSITY,JA
AIESEC WASEDA UNIVERSITY,JA
AIESEC KEIO UNIVERSITY,JA
AIESEC AMMAN,JO
AIESEC ZARQA (CLOSED),JO
AIESEC IRBID,JO
AIESEC ASTANA,KZ
AIESEC UST KAMENOGORSK (CLOSED),KZ
AIESEC KARAGANDY,KZ
AIESEC AKTOBE,KZ
AIESEC ORAL,KZ
AIESEC ALMATY,KZ
AIESEC DAYSTAR,KE
AIESEC CUEA,KE
AIESEC UON,KE
AIESEC MOI,KE
AIESEC BARATON (CLOSED),KE
AIESEC JKUAT,KE
AIESEC EGERTON (CLOSED),KE
AIESEC STRATHMORE UNIVERSITY,KE
AIESEC USIU,KE
AIESEC KU,KE
AIESEC HUFS,KN
AIESEC SKKU,KN
AIESEC KORU,KN
AIESEC SSU,KN
AIESEC DWU,KN
AIESEC SEOUL,KN
AIESEC SGU,KN
AIESEC EWHA,KN
AIESEC PNU,KN
AIESEC SMU LC,KN
AIESEC SNU,KN
AIESEC SWU,KN
AIESEC KOUT,KU
AIESEC BISHKEK,KG
AIESEC NARYN (CLOSED),KG
AIESEC UUB,KG
LAO TOP COLLEGE,LA
LAO AMERICAN COLLEGE,LA
AIESEC JELGAVA (CLOSED),LG
AIESEC RIGA,LG
AIESEC DAUGAVPILS (CLOSED),LG
AIESEC VALMIERA (CLOSED),LG
AIESEC VIDZEME (CLOSED),LG
AIESEC VENTSPILS (CLOSED),LG
AIESEC AUB,LE
AIESEC LAU,LE
AIESEC STELLA MARIS POLYTECHNIC,LI
AIESEC VILNIUS ISM,LH
AIESEC KLAIPEDA (CLOSED),LH
AIESEC KAUNAS TECHNOLOGY UNIVERSITY,LH
AIESEC KAUNAS,LH
AIESEC SIAULIAI,LH
AIESEC VILNIUS,LH
UNIVERSITY OF LUXEMBOURG,LU
AIESEC UPM,MY
AIESEC UNIVERSITI MALAYSIA PAHANG,MY
